,missing_count,missing_ratio
feature_0,0,0.0
feature_1,0,0.0
feature_2,0,0.0
feature_3,0,0.0
feature_4,202,0.001524746944844921
feature_5,249,0.0018795147983484424
feature_6,563,0.0042496659898400525
feature_7,47,0.00035476785350352125
feature_8,47,0.00035476785350352125
feature_9,0,0.0
feature_10,47,0.00035476785350352125
feature_11,0,0.0
feature_12,0,0.0
feature_13,249,0.0018795147983484424
feature_14,202,0.001524746944844921
feature_15,0,0.0
feature_16,0,0.0
feature_17,0,0.0
feature_18,202,0.001524746944844921
feature_19,0,0.0
feature_20,0,0.0
feature_21,2136,0.01612306670390471
feature_22,204,0.0015398434492493263
feature_23,0,0.0
feature_24,47,0.00035476785350352125
